Location,lat,lng
Sydney,-33.865,151.2094
Melbourne,-37.8136,144.9631
Brisbane,-27.4678,153.0281
Perth,-31.9522,115.8589
Adelaide,-34.9289,138.6011
Gold Coast,-28.0167,153.4
Cranbourne,-38.0996,145.2834
Canberra,-35.2931,149.1269
Newcastle,-32.9167,151.75
Wollongong,-34.4331,150.8831
Geelong,-38.15,144.35
Hobart,-42.8806,147.325
Townsville,-19.2564,146.8183
Ipswich,-27.6167,152.7667
Cairns,-16.9303,145.7703
Toowoomba,-27.5667,151.95
Darwin,-12.4381,130.8411
Ballarat,-37.55,143.85
Bendigo,-36.75,144.2667
Launceston,-41.4419,147.145
Mackay,-21.1411,149.1861
Rockhampton,-23.375,150.5117
Maitland,-32.7167,151.55
Bunbury,-33.3333,115.6333
Coffs Harbour,-30.3022,153.1189
Bundaberg,-24.85,152.35
Wagga Wagga,-35.1189,147.3689
Hervey Bay,-25.2853,152.8728
Shepparton,-36.3833,145.4
Albury,-36.0806,146.9158
Port Macquarie,-31.4333,152.9
Pakenham,-38.0712,145.4878
Tamworth,-31.0833,150.9167
Caloundra,-26.7986,153.1289
Orange,-33.2833,149.1
Dubbo,-32.2569,148.6011
Geraldton,-28.7744,114.6089
Nowra,-34.8833,150.6
Bathurst,-33.42,149.5778
Queanbeyan,-35.3533,149.2342
Frankston,-38.158,145.135
Sunbury,-37.5811,144.7139
Warrnambool,-38.3833,142.4833
Wodonga,-36.1214,146.8881
Albany,-35.0228,117.8814
Gladstone,-23.8489,151.2625
Mildura,-34.1889,142.1583
Southport,-27.9667,153.4
Alice Springs,-23.7,133.8667
Dandenong,-37.981,145.215
Kalgoorlie,-30.7489,121.4658
Mount Gambier,-37.8294,140.7828
Lismore,-28.8167,153.2833
Maryborough,-25.5375,152.7019
Quakers Hill,-33.7344,150.8789
Gawler,-34.5981,138.745
Caboolture,-27.0667,152.967
Ballina,-28.8333,153.5333
Taree,-31.9,152.45
Traralgon,-38.1958,146.5403
Busselton,-33.6478,115.3458
Armidale,-30.5,151.65
Goulburn,-34.7547,149.6186
Devonport,-41.1806,146.3464
Bacchus Marsh,-37.675,144.4389
Whyalla,-33.0333,137.5667
Cessnock,-32.8342,151.3555
Gympie,-26.19,152.6655
Griffith,-34.29,146.04
Kwinana,-32.2394,115.7702
Burnie,-41.0636,145.8753
Wangaratta,-36.3583,146.3125
Grafton,-29.6833,152.9333
Yeppoon,-23.1333,150.7333
Murray Bridge,-35.117,139.267
Mount Isa,-20.7333,139.5
Narangba,-27.2015,152.9655
Mount Eliza,-38.189,145.092
Broken Hill,-31.9567,141.4678
Nerang,-27.9956,153.322
Karratha,-20.7364,116.8464
Mount Barker,-35.0667,138.85
Horsham,-36.7167,142.2
Lara,-38.0167,144.4167
Singleton,-32.5667,151.1697
Port Lincoln,-34.7322,135.8586
Banora Point,-28.2225,153.5386
Warwick,-28.2152,152.0352
Rochedale,-27.5952,153.1233
Kempsey,-31.0833,152.8333
Ulladulla,-35.3486,150.4678
Sale,-38.1,147.0667
Echuca,-36.1333,144.75
Australind,-33.28,115.726
Broome,-17.9619,122.2361
Port Hedland,-20.31,118.6011
Warragul,-38.15,145.9333
Port Pirie,-33.1858,138.0169
Barwon Heads,-38.25,144.5167
Emerald,-23.5167,148.15
Ulverstone,-41.1667,146.1667
Morwell,-38.2333,146.4
Gisborne,-37.49,144.5889
Port Augusta,-32.4925,137.7658
Forster,-32.1806,152.5117
Penrith,-33.7511,150.6942
Torquay,-38.3333,144.3167
Jimboomba,-27.8333,153.0333
Lithgow,-33.4833,150.15
Bowral,-34.4792,150.4181
Goonellabah,-28.815,153.3178
Raymond Terrace,-32.7615,151.7441
Leopold,-38.1892,144.4644
Dalby,-27.1833,151.2667
Campbelltown,-34.0733,150.8261
Colac,-38.3403,143.5847
Muswellbrook,-32.2654,150.8885
Esperance,-33.8611,121.8919
Drouin,-38.1333,145.85
Rutherford,-32.715,151.5317
Nelson Bay,-32.715,152.1511
Inverell,-29.7667,151.1167
Parkes,-33.095,148.2628
Somerville,-38.226,145.177
Gracemere,-23.4333,150.45
Batemans Bay,-35.7081,150.1744
Nambour,-26.6269,152.9592
Swan Hill,-35.3333,143.55
Mareeba,-16.9833,145.4167
Corinda,-27.4833,153.1
Samford,-27.3667,152.8833
Mudgee,-32.6125,149.5872
Casino,-28.8483,153.0511
Portland,-38.3333,141.6
Kingston,-42.9769,147.3083
Kingaroy,-26.5333,151.8333
Kangaroo Flat,-36.8,144.25
Bowen,-20.0167,148.2333
Young,-34.3,148.3
Cowra,-33.8183,148.6578
Hamilton,-37.7333,142.0167
Gunnedah,-30.9667,150.25
Mount Evelyn,-37.7833,145.3833
Andergrove,-21.0931,149.186
Moree,-29.465,149.8344
Benalla,-36.5519,145.9817
Currumbin,-28.158,153.469
Wollert,-37.597,145.033
Mittagong,-34.45,150.45
Kelso,-33.4186,149.6056
Yanchep,-31.55,115.634
Bentley,-32.001,115.924
Moe,-38.1722,146.2678
Ayr,-19.5744,147.4066
Moranbah,-22.0016,148.0533
Leeton,-34.5483,146.4011
Moss Vale,-34.5483,150.3678
Wallan,-37.4167,144.9833
Springwood,-33.6967,150.5683
Lesmurdie,-31.994,116.05
Forbes,-33.3833,148.0167
Emu Plains,-33.7483,150.6678
Rye,-38.377,144.838
Darley,-37.6547,144.437
Ararat,-37.2833,142.9167
Tweed Heads,-28.1833,153.55
Highfields,-27.4581,151.9492
Charters Towers,-20.1,146.2667
Melton,-37.6833,144.5833
Katoomba,-33.715,150.312
Kilmore,-37.2833,144.95
Mooroopna,-36.3833,145.35
Yarrawonga,-36.0167,146
Maryborough,-37.05,143.735
Deniliquin,-35.5317,144.9344
Mandurah,-32.5289,115.7231
Bli Bli,-26.618,153.037
Kiama,-34.6708,150.8542
Narre Warren North,-37.9833,145.3167
Narrabri,-30.3317,149.7678
Bairnsdale,-37.8333,147.6167
Clifton Springs,-38.15,144.5667
North Tamborine,-27.9694,153.1992
Bargara,-24.8205,152.4625
Kingscliff,-28.2564,153.5781
Healesville,-37.6561,145.5139
Fremantle,-32.0569,115.7439
Blaxland,-33.7453,150.6175
Atherton,-17.2658,145.478
Kyabram,-36.3167,145.05
Innisfail,-17.5236,146.0292
Sanctuary Point,-35.1036,150.6267
Collie,-33.363,116.156
Gatton,-27.5611,152.2755
Merrimac,-28.05,153.3667
Murwillumbah,-28.3333,153.3833
Urraween,-25.2955,152.8219
Kyneton,-37.2333,144.45
Bongaree,-27.0814,153.1633
Roma,-26.5733,148.7869
Mount Cotton,-27.6188,153.221
Cootamundra,-34.6483,148.0344
Beerwah,-26.8556,152.96
Castlemaine,-37.0636,144.2172
Pottsville,-28.3869,153.5608
Cooma,-36.235,149.1258
Gordonvale,-17.0936,145.7866
Lysterfield,-37.9333,145.3
Bomaderry,-34.848,150.605
Chinchilla,-26.7397,150.625
Northam,-31.6531,116.6661
Yass,-34.8203,148.9136
Strathalbyn,-35.2667,138.9
Burpengary,-27.1442,153
Waterford,-27.6833,153.133
Lennox Head,-28.7983,153.5844
Beaudesert,-27.988,152.9958
Margaret River,-33.955,115.075
Helensburgh,-34.1833,151
Goondiwindi,-28.5461,150.3097
Seymour,-37.03,145.13
Nambucca Heads,-30.6414,152.9906
Nuriootpa,-34.4667,138.9833
Wauchope,-31.465,152.7344
Tumut,-35.3039,148.2233
Tuncurry,-32.175,152.4989
Glen Innes,-29.75,151.7361
Yamba,-29.4333,153.35
Wentworth Falls,-33.7164,150.3772
South Grafton,-29.715,152.9344
Kurri Kurri,-32.8167,151.4833
Stawell,-37.05,142.7667
Cobram,-35.9667,145.65
Wynyard,-41,145.7167
Naracoorte,-36.955,140.7429
North Mackay,-21.1216,149.1783
Cannington,-32.0167,115.95
Woodend,-37.363,144.526
Dromana,-38.338,144.965
Emerald,-37.9331,145.437
Biloela,-24.4002,150.5133
Alstonville,-28.8317,153.4344
Cannonvale,-20.2863,148.6866
Point Vernon,-25.2538,152.8177
Palmwoods,-26.6883,152.9597
Scone,-32.0833,150.85
Whittlesea,-37.5139,145.114
East Ballina,-28.8594,153.5872
Sarina,-21.4225,149.2175
Byron Bay,-28.6483,153.6178
Corowa,-35.9942,146.3844
Richmond,-33.5983,150.7511
Cooranbong,-33.074,151.451
Bullsbrook,-31.663,116.03
Inverloch,-38.6334,145.7278
New Norfolk,-42.7828,147.0594
Stanthorpe,-28.6547,151.935
Wingham,-31.85,152.367
Irymple,-34.2333,142.1667
Dunsborough,-33.6167,115.1
Kununurra,-15.7736,128.7386
Smithfield Heights,-16.8314,145.691
Woolgoolga,-30.115,153.2011
Bannockburn,-38.05,144.1667
Maffra,-37.95,146.983
Tannum Sands,-23.9474,151.3675
Ocean Shores,-28.5092,153.5375
Howard Springs,-12.4922,131.053
Leongatha,-38.4833,145.95
Worragee,-34.9144,150.6386
Tahmoor,-34.2233,150.5928
Red Cliffs,-34.3075,142.1881
Glenbrook,-33.765,150.6267
McMinns Lagoon,-12.5329,131.05
Kiama Downs,-34.6317,150.8511
Hazelbrook,-33.725,150.4572
Wonthaggi,-38.6056,145.5917
Junee,-34.8661,147.5822
Pinjarra,-32.63,115.8711
Encounter Bay,-35.5742,138.6005
Nairne,-35.0333,138.9167
Cowes,-38.4511,145.2419
Boulder,-30.778,121.489
Picton,-34.1817,150.6011
Salamander Bay,-32.7292,152.0894
Lakes Entrance,-37.8667,147.9833
Mansfield,-37.05,146.083
Churchill,-38.3167,146.417
Bucasia,-21.0311,149.1597
Boyne Island,-23.9477,151.355
Blackwater,-23.4667,148.7667
Millicent,-37.5967,140.3524
Oakey,-27.4338,151.7211
Temora,-34.4483,147.5344
Narromine,-32.2333,148.2333
Ningi,-27.0667,153.0833
Bega,-36.6847,149.8422
Mount Low,-19.2247,146.6808
Leura,-33.7089,150.3353
Renmark,-34.1741,140.7418
South West Rocks,-30.8842,153.0403
Tanunda,-34.5167,138.9667
Kadina,-33.9625,137.7125
Newman,-23.3539,119.7319
Glenella,-21.1197,149.1542
Roxby Downs,-30.5625,136.8785
Numurkah,-36.0833,145.4333
Korumburra,-38.4333,145.8167
Rasmussen,-19.3497,146.716
Tatura,-36.4401,145.233
Carnarvon,-24.8672,113.6611
Romsey,-37.35,144.75
Blackheath,-33.6317,150.2845
Bargo,-34.2983,150.5844
Old Bar,-31.9667,152.583
Narrandera,-34.7483,146.5511
Ingham,-18.65,146.1667
Manjimup,-34.2411,116.1464
George Town,-41.1,146.8167
Wyong,-33.282,151.418
Broadford,-37.2,145.067
Drysdale,-38.1667,144.5667
Narrogin,-32.936,117.178
Cockatoo,-37.935,145.492
Victor Harbor,-35.55,138.6167
Moama,-36.0833,144.75
Bungendore,-35.2483,149.4511
Latrobe,-41.2464,146.4246
Beachmere,-27.1294,153.0538
Berri,-34.2833,140.6
Wellington,-32.55,148.9333
Tenterfield,-29.0553,152.0178
Thirlmere,-34.1983,150.5678
Legana,-41.3667,147.05
